iter	RMSE
183	0.4857008226
184	0.4853904752
185	0.4852858471
186	0.4852318563
187	0.4851481024
188	0.4849863584
189	0.4849045216
190	0.4848063447
191	0.4846267205
192	0.4844331117
193	0.484285901
194	0.4841223529
195	0.4840070601
196	0.4838628048
197	0.4835632213
198	0.4833949862
199	0.4832086755
200	0.483127485
201	0.4828842853
202	0.4827866317
203	0.4827184815
204	0.4825236987
205	0.4823239503
206	0.4820914257
207	0.4820263826
208	0.4818126033
209	0.4817011884
210	0.4815565472
211	0.4814550707
212	0.4813208789
213	0.4811934053
214	0.4811019793
215	0.4810807779
216	0.4809674708
217	0.4808366161
218	0.4806815828
219	0.480609406
220	0.4804214323
221	0.4803482322
222	0.4802014838
223	0.4800457144
224	0.4799627425
225	0.4798628847
226	0.4797357893
227	0.4795475976
228	0.4793342956
229	0.4792687235
230	0.4791437768
231	0.4790245068
232	0.478903912
233	0.4788023414
234	0.4787043641
235	0.4786299427
236	0.4785594322
237	0.478488147
238	0.4783506236
239	0.4782157488
240	0.478208318
241	0.4780295677
242	0.4778050253
243	0.4776598086
244	0.4775543927
245	0.4773615236
246	0.4772752636
247	0.477152565
248	0.47702088
249	0.4769151025
250	0.476810387
251	0.4767134595
252	0.4766009541
253	0.4765575679
254	0.4763945678
255	0.47633963
256	0.4761965819
257	0.4760488315
258	0.4758920694
259	0.4758278538
260	0260	0.478307261	0.475534593
262	0.262	0.47800263	0.263	0.47791264	0.264	0.47776265	0.4752351633
266	0.4750987317
267	0.4749923643
268	0.268	0.47742269	0.269	0.47729270	0.4745734161
271	0.4745678085
272	0.4745264865
273	0.474410771
274	0.4743590454
275	0.4742639494
276	0.4741083785
277	0.4740552189
278	0.278	0.47643279	0.4737932141
280	0.4736455848
281	0.4735869121
282	0.4733953007
283	0.4733419088
284	0.4732982082
285	0.4731724003
286	0.4730749976
287	0.4730039053
288	0.472883635
289	0.4727852331
290	0.4726765546
291	0.472599949
292	0.472501229
293	0.4724483726
294	0.4723679262
295	0.4722750575
296	0.4722092699
297	0.4720767773
298	0.4719723898
299	0.4719253296
300	0.4717510959
301	0.4716096025
302	0.4715898364
303	0.4714928278
304	0.4714661068
305	0.4713949672
306	0.4712183684
307	0.4710660201
308	0.470946129
309	0.4709035064
310	0.4707481106
311	0.4707040339
312	0.4706026439
313	0.4704496884
314	0.4703859521
315	0.4702885578
316	0.4702403108
317	0.4701848314
318	0.470062325
319	0.4699142023
320	0.4698280499
321	0.4697234992
322	0.469554099
323	0.4694075872
324	0.4692614401
325	0.4691791935
326	0.4690961508
327	0.4690364611
328	0.4690039575
329	0.4689391469
330	0.4688708518
331	0.4687118991
332	0.4686225974
333	0.4685680101
334	0.4684950951
335	0.4684060947
336	0.4683154577
337	0.468200928
338	0.4680742951
339	0.467966366
340	0.4678944748
341	0.4678651044
342	0.4677456925
343	0.4677016892
344	0.4676138334
345	0.4675495184
346	0.4674619767
347	0.4672970663
348	0.467160101
349	0.4671447615
350	0.4670730678
351	0.4669589448
352	0.466830218
353	0.4668072829
354	0.4667288742
355	0.466591712
356	0.4665110975
357	0.4664290794
358	0.4663102988
359	0.4662232126
360	0.4661477668
361	0.4660375932
362	0.4659560743
363	0.465919403
364	0.4658020522
365	0.4656830399
366	0.4656058463
367	0.4655555624
368	0.4654287975
369	0.4653209352
370	0.465275513
371	0.4651261295
372	0.465055002
373	0.4649923362
374	0.4649239613
375	0.4648846843
376	0.4647847499
377	0.4646842814
378	0.4646138173
379	0.4644659284
380	0.4643592414
381	0.4642795583
382	0.4641427114
383	0.4640122781
384	0.4639327236
385	0.4638486992
386	0.4637530878
387	0.4636665253
388	0.463629031
389	0.4635358468
390	0.4634590334
391	0.463331483
392	0.4632746967
393	0.463202149
394	0.4631183289
395	0.4630635488
396	0.4629765586
397	0.4629361387
398	0.4628771392
399	0.4627943752
400	0.4627437126
401	0.4626683787
402	0.4625933235
403	0.4625478819
404	0.4624405286
405	0.462348827
406	0.462342581
407	0.4622576079
408	0.4621394652
409	0.4620814038
410	0.4620053639
411	0.4619457055
412	0.461892763
413	0.4617494605
414	0.4615636114
415	0.461430843
416	0.4614011621
417	0.4612589427
418	0.4611797203
419	0.4611321507
420	0.4610191351
421	0.4609142318
422	0.4608824993
423	0.4608245786
424	0.4607335793
425	0.4606476369
426	0.4606281031
427	0.4605814353
428	0.4605094985
429	0.4604667685
430	0.4603360846
431	0.4602626375
432	0.4601910547
433	0.4600989468
434	0.45999791
435	0.4598418847
436	0.459767515
437	0.4597009737
438	0.4595969017
439	0.4595119114
440	0.4594004847
441	0.4593555517
442	0.4592421212
443	0.4591915381
444	0.4591125276
445	0.4590309748
446	0.4590166826
447	0.4588974052
448	0.4588094253
449	0.4587980293
450	0.4587633528
451	0.4586446375
452	0.458620991
453	0.4585486953
454	0.458476215
455	0.4583922799
456	0.4583338156
457	0.4581775253
458	0.4581146627
459	0.4580480178
460	0.4579101144
461	0.4578429409
462	0.4577787902
463	0.457728295
464	0.4576028528
465	0.4575548896
466	0.4574755705
467	0.457426174
468	0.4468	0.4571469	0.4572234443
470	0.4571155657
471	0.4569999843
472	0.4569797571
473	0.4473	0.456474	0.4567993995
475	0.4566762296
476	0.4565615433
477	0.4565530907
478	0.4564518024
479	0.45479	0.456318775
480	0.4562481	0.4481	0.4562482	0.4482	0.4561483	0.4483	0.4560484	0.4484	0.4559485	0.4558603508
486	0.4557980455
487	0.4557421017
488	0.4557108199
489	0.4556565316
490	0.4555783763
491	0.4554637465
492	0.4553508867
493	0.4552972971
494	0.455146892
495	0.4550782555
496	0.4548993498
497	0.4548764288
498	0.4548369505
499	0.4547773723
32829
9499	0.4550331055
2
