iter	RMSE
286	0.6839180598
287	0.683791345
288	0.6836595954
289	0.6836576675
290	0.6835150226
291	0.683358259
292	0.6832006778
293	0.6831601082
294	0.6830435742
295	0.6829209079
296	0.682782844
297	0.6826100845
298	0.682579039
299	0.6823963737
300	0.6822399519
301	0.6820644773
302	0.6820148988
303	0.6819736324
304	0.6818116445
305	0.6817085035
306	0.6815831474
307	0.6814412296
308	0.681218749
309	0.6810243803
310	0.6809182351
311	0.680717587
312	0.6804795723
313	0.6803968767
314	0.6803679759
315	0.6802280293
316	0.6801407508
317	0.6800252565
318	0.6798755789
319	0.6797170288
320	0.679536883
321	0.6793992505
322	0.6792900788
323	0.6791536988
324	0.6790178502
325	0.6789680319
326	0.678801751
327	0.6787072872
328	0.6786375462
329	0.6785925842
330	0.6784725341
331	0.6784071667
332	0.6782491826
333	0.6781782163
334	0.6781637275
335	0.6779959768
336	0.6779048204
337	0.6778524814
338	0.6777857796
339	0.6777340186
340	0.6776536156
341	0.6775145731
342	0.6773465863
343	0.6772508533
344	0.6771655543
345	0.6770390995
346	0.6769037348
347	0.6768844263
348	0.6767834162
349	0.6766408474
350	0.6764781037
351	0.6762873848
352	0.6762327503
353	0.6761402545
354	0.6760460114
355	0.67595924
356	0.6758115816
357	0.6757959212
358	0.6756318088
359	0.675519598
360	0.6754002598
361	0.6753277644
362	0.6752300034
363	0.6751307117
364	0.6750355899
365	0.6747597039
366	0.6746624973
367	0.6745238688
368	0.6744316402
369	0.6742819942
370	0.6741688478
371	0.6740691644
372	0.6739052707
373	0.6736598172
374	0.6736322746
375	0.6734980647
376	0.6733871008
377	0.6732575185
378	0.6731572257
379	0.6730472001
380	0.6730062876
381	0.6729680342
382	0.6728642525
383	0.6728300701
384	0.6726146992
385	0.6725514706
386	0.6725077266
387	0.6723942622
388	0.672317208
389	0.6721862943
390	0.6719833319
391	0.6718784131
392	0.6717112994
393	0.6715405967
394	0.6714408716
395	0.6712430974
396	0.6711369738
397	0.6710193229
398	0.6709405075
399	0.670783468
400	0.6706638923
401	0.6705333907
402	0.670410435
403	0.6703257039
404	0.6701089824
405	0.6700395417
406	0.6699222663
407	0.6697511917
408	0.6695743084
409	0.6694372067
410	0.6693515059
411	0.6692726652
412	0.6691818568
413	0.6690507466
414	0.6689990637
415	0.6689645097
416	0.6688992128
417	0.6687412452
418	0.6685712422
419	0.6684130949
420	0.668344121
421	0.6681688514
422	0.6681012857
423	0.6680510798
424	0.6679764516
425	0.6678675396
426	0.6677377741
427	0.6674780873
428	0.6673005042
429	0.6671983425
430	0.6670707814
431	0.6669451869
432	0.6668609907
433	0.6666761782
434	0.6666527032
435	0.666503266
436	0.6663591402
437	0.6662725157
438	0.6662093026
439	0.6661549788
440	0.6660729347
441	0.6659861222
442	0.6658618237
443	0.6657739054
444	0.6656839703
445	0.6656599453
446	0.6655664226
447	0.665531419
448	0.6654640514
449	0.6654112209
450	0.6653374844
451	0.6652164399
452	0.6650949719
453	0.6649687964
454	0.6648884818
455	0.6648080259
456	0.6647167591
457	0.6645784218
458	0.6645116402
459	0.664451316
460	0.6643473799
461	0.6642622462
462	0.6641466381
463	0.6639770193
464	0.6638586378
465	0.6637351792
466	0.6635755905
467	0.6634411363
468	0.6634227718
469	0.6633315648
470	0.6632491624
471	0.6631713288
472	0.6630726954
473	0.6629739457
474	0.6628590213
475	0.6627468666
476	0.6626023868
477	0.6624585801
478	0.6623537878
479	0.662253554
480	0.6621617856
481	0.6620660306
482	0.6620248117
483	0.6619450179
484	0.6618091206
485	0.6616958762
486	0.6616197713
487	0.6615440336
488	0.6614483371
489	0.6613600668
490	0.6612759353
491	0.6612133676
492	0.6610974363
493	0.6609831577
494	0.660870076
495	0.6607344177
496	0.660665269
497	0.6606043946
498	0.6604375317
499	0.6602720838
16673
